region_id,state,district,latitude,longitude,date,rainfall_mm,temperature_c,source_mode
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260406,5.52,6.5,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260407,1.14,6.89,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260408,-999.0,-999.0,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260409,-999.0,-999.0,downloaded
IN-BAG-BAGESHWAR,Uttarakhand,Bageshwar,29.8374,79.7714,20260410,-999.0,-999.0,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260301,0.01,-0.72,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260302,0.0,0.51,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260303,0.0,3.02,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260304,0.0,5.22,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260305,0.0,6.82,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260306,0.0,6.28,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260307,0.0,6.59,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260308,0.0,6.22,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260309,0.01,5.7,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260310,0.0,6.32,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260311,0.0,6.99,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260312,1.09,5.76,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260313,0.01,4.04,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260314,0.9,3.35,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260315,11.08,0.08,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260316,9.31,-1.2,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260317,0.37,-1.83,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260318,4.45,-0.99,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260319,21.6,0.52,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260320,55.68,-1.53,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260321,3.22,-0.04,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260322,0.06,-0.4,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260323,2.74,-0.36,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260324,0.2,0.2,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260325,0.01,-0.59,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260326,0.13,2.88,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260327,1.44,2.3,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260328,0.28,2.96,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260329,1.03,3.91,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260330,2.07,4.15,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260331,1.83,4.89,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260401,1.38,3.6,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260402,0.26,4.94,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260403,2.65,4.42,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260404,12.95,1.89,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260405,5.89,1.33,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260406,5.46,0.8,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260407,1.82,1.06,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260408,-999.0,-999.0,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260409,-999.0,-999.0,downloaded
IN-CHA-CHAMOLI,Uttarakhand,Chamoli,30.42,79.32,20260410,-999.0,-999.0,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260301,0.0,16.17,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260302,0.0,16.59,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260303,0.0,17.69,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260304,0.0,18.79,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260305,0.0,19.27,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260306,0.0,19.1,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260307,0.0,19.64,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260308,0.0,20.07,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260309,0.0,19.7,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260310,0.0,19.59,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260311,0.0,20.43,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260312,0.01,20.97,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260313,0.0,19.84,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260314,0.0,19.79,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260315,0.94,16.86,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260316,0.28,16.67,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260317,0.0,16.66,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260318,0.01,17.95,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260319,2.17,15.8,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260320,42.8,10.51,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260321,2.57,13.73,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260322,0.14,15.91,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260323,0.39,16.84,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260324,0.03,17.1,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260325,0.0,18.34,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260326,0.0,20.23,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260327,0.41,20.06,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260328,0.04,19.26,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260329,0.11,20.62,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260330,0.3,21.16,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260331,0.65,21.76,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260401,0.09,21.06,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260402,0.0,22.1,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260403,0.26,22.23,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260404,0.9,19.04,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260405,2.82,17.37,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260406,1.22,17.45,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260407,0.38,18.1,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260408,-999.0,-999.0,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260409,-999.0,-999.0,downloaded
IN-CHP-CHAMPAWAT,Uttarakhand,Champawat,29.336,80.091,20260410,-999.0,-999.0,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260301,0.0,14.61,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260302,0.0,15.21,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260303,0.0,16.8,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260304,0.0,18.43,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260305,0.0,19.35,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260306,0.0,19.05,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260307,0.0,19.24,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260308,0.0,19.46,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260309,0.0,19.64,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260310,0.0,19.28,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260311,0.0,19.52,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260312,0.09,19.53,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260313,0.0,17.88,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260314,0.03,17.54,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260315,5.35,14.5,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260316,2.81,13.95,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260317,0.0,13.67,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260318,1.84,14.99,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260319,13.02,12.65,downloaded
IN-DEH-DEHRADUN,Uttarakhand,Dehradun,30.3165,78.0322,20260320,34.53,9.94,downloaded
